"annual_precip","clay","h20cap_pf2_0","land_elevation","occ","ph20","silt","terrain_slope","wet_index","X","Y","mg"
1602.52062988281,27,20,2630,50,52,34,17,88,34.5005699527646,0.958951718803563,367
1785.47583007812,25,19,2757,49,52,35,13,78,34.5630699526646,0.958951718803563,333
1689.93139648438,26,19,2765,54,52,35,8,82,34.5755699526446,0.958951718803563,324
1612.71179199219,25,19,2730,43,52,36,6,85,34.5797366193046,0.958951718803563,321
2094.24169921875,32,18,2802,37,53,30,13,88,34.6526532858546,0.958951718803563,274
2108.12133789062,32,18,2815,30,54,30,2,95,34.6651532858346,0.958951718803563,263
2068.8984375,35,17,2570,34,54,29,9,94,34.7005699524445,0.958951718803563,270
2050.47778320312,38,16,2531,26,56,26,9,94,34.7130699524245,0.958951718803563,313
1660.06652832031,26,20,2738,49,52,34,7,82,34.5339032860446,0.956868385473563,406
1612.71179199219,25,19,2730,43,52,36,6,85,34.5818199526346,0.956868385473563,311
2012.73999023438,26,19,2924,33,53,34,5,101,34.6047366192646,0.956868385473563,232
1944.91979980469,26,18,2825,39,52,34,18,85,34.6172366192446,0.956868385473563,267
2091.7001953125,31,18,2850,36,53,31,9,87,34.6505699525246,0.956868385473563,277
2068.8984375,35,17,2570,34,54,29,9,94,34.6984866191145,0.956868385473563,255
1586.47839355469,26,20,2694,53,52,35,17,86,34.4880699527846,0.954785052143563,421
1685.23095703125,26,20,2736,57,52,34,16,87,34.5172366194046,0.954785052143563,381
1690.34851074219,25,20,2791,52,51,33,9,82,34.5234866193946,0.954785052143563,386
1660.06652832031,26,20,2738,49,52,34,7,82,34.5318199527146,0.954785052143563,388
1658.12731933594,26,19,2736,46,51,34,22,85,34.5359866193746,0.954785052143563,416
1795.32336425781,25,19,2838,41,52,34,11,84,34.5526532860146,0.954785052143563,365
1795.32336425781,25,19,2838,41,52,34,11,84,34.5547366193446,0.954785052143563,367
1795.32336425781,25,19,2838,41,52,34,11,84,34.5568199526746,0.954785052143563,338
2091.7001953125,31,18,2850,36,53,31,9,87,34.6505699525246,0.954785052143563,282
1882.34851074219,24,19,2924,41,52,34,9,81,34.6005699526046,0.952701718813563,241
1944.91979980469,26,18,2825,39,52,34,18,85,34.6172366192446,0.952701718813563,309
1865.04626464844,28,18,2731,41,54,33,20,90,34.6214032859046,0.952701718813563,287
1972.11437988281,27,18,2891,34,54,34,2,93,34.6276532858946,0.952701718813563,296
1972.11437988281,27,18,2891,34,54,34,2,93,34.6318199525546,0.952701718813563,277
2120.845703125,33,17,2736,34,54,29,12,90,34.6714032858246,0.952701718813563,285
1703.10693359375,27,19,2695,44,51,33,4,92,34.5068199527546,0.950618385483563,370
1679.63818359375,26,19,2709,50,51,34,8,83,34.5214032860646,0.950618385483563,367
1759.45471191406,26,18,2786,43,52,34,7,82,34.5547366193446,0.950618385483563,352
1652.4150390625,28,18,2690,47,51,34,18,85,34.5755699526446,0.950618385483563,298
1699.72521972656,27,19,2737,43,52,34,27,82,34.5880699526246,0.950618385483563,304
1920.50061035156,29,18,2867,39,54,33,22,80,34.6109866192546,0.950618385483563,305
1970.42260742188,30,18,2853,37,53,33,6,86,34.6297366192246,0.950618385483563,271
1970.42260742188,30,18,2853,37,53,33,6,86,34.6318199525546,0.950618385483563,270
2121.14233398438,33,17,2735,34,55,29,9,93,34.6797366191445,0.950618385483563,270
1583.69653320312,26,20,2487,52,51,34,9,87,34.4818199527946,0.948535052153563,423
1717.00354003906,27,19,2657,47,53,33,16,87,34.5109866194146,0.948535052153563,385
1674.17565917969,28,19,2710,40,52,32,20,85,34.5401532860346,0.948535052153563,395
1720.17517089844,26,18,2701,48,51,34,14,79,34.5672366193246,0.948535052153563,330
1652.4150390625,28,18,2690,47,51,34,18,85,34.5755699526446,0.948535052153563,281
1984.45727539062,28,18,2895,32,53,34,9,82,34.6026532859346,0.948535052153563,284
1970.42260742188,30,18,2853,37,53,33,6,86,34.6318199525546,0.948535052153563,277
2121.14233398438,33,17,2735,34,55,29,9,93,34.6839032858045,0.948535052153563,293
2056.83349609375,35,17,2575,31,54,29,11,96,34.7047366191045,0.948535052153563,227
1586.03674316406,27,19,2662,50,51,33,17,90,34.4880699527846,0.946451718823563,397
1640.99267578125,27,19,2660,55,51,34,20,84,34.5339032860446,0.946451718823563,411
1735.87072753906,28,18,2745,50,51,33,7,86,34.5484866193546,0.946451718823563,374
1720.17517089844,26,18,2701,48,51,34,14,79,34.5609866193346,0.946451718823563,323
1652.4150390625,28,18,2690,47,51,34,18,85,34.5755699526446,0.946451718823563,280
1623.85754394531,27,18,2695,51,51,34,15,91,34.5797366193046,0.946451718823563,269
1699.72521972656,27,19,2737,43,52,34,27,82,34.5901532859546,0.946451718823563,324
1699.72521972656,27,19,2737,43,52,34,27,82,34.5922366192846,0.946451718823563,329
2084.37866210938,31,18,2747,38,53,31,16,84,34.6464032858646,0.946451718823563,277
2095.96484375,32,17,2756,38,54,30,4,88,34.6651532858346,0.946451718823563,265
2119.59130859375,32,17,2730,37,54,30,1,92,34.6755699524846,0.946451718823563,286
