"elevation","occ","ph20","slope","wetness_index","X","Y","mg"
1286,14,57,3,107,34.4255699528847,0.363118386423565,208
1383,13,55,3,105,34.6130699525846,0.361035053093565,184
1518,12,55,3,105,34.7589032856845,0.361035053093565,163
1486,14,54,5,104,34.7318199523945,0.358951719763565,171
1547,16,54,2,101,34.8839032854844,0.358951719763565,231
1480,17,54,4,101,34.6984866191145,0.356868386433565,175
1542,14,55,2,105,34.7984866189545,0.356868386433565,179
1315,15,57,1,116,34.4401532861947,0.352701719773565,253
1614,21,53,17,89,34.8359866188945,0.352701719773565,188
1466,13,54,2,104,34.7318199523945,0.348535053113565,190
1306,14,57,2,107,34.4380699528647,0.346451719783565,235
1564,14,56,2,97,34.9172366187644,0.346451719783565,247
1429,16,55,4,100,34.6609866191746,0.344368386453565,170
1395,13,55,4,106,34.6005699526046,0.342285053123565,188
1322,15,55,3,105,34.5422366193646,0.338118386463565,185
1294,13,55,0,110,34.3984866195947,0.333951719803565,201
1345,14,56,4,106,34.5547366193446,0.333951719803565,173
1271,15,59,2,103,34.4151532862347,0.327701719813565,264
1582,19,53,3,111,34.9005699521244,0.327701719813565,258
1564,20,54,4,101,34.8214032855845,0.323535053153565,250
1569,15,50,3,100,34.8422366188845,0.323535053153565,200
1278,12,55,1,110,34.4359866195347,0.321451719823565,208
1347,13,56,1,106,34.5443199526946,0.321451719823565,176
1385,13,55,4,104,34.6068199525946,0.321451719823565,177
1388,13,55,3,102,34.6255699525646,0.321451719823565,203
1401,12,54,5,99,34.6755699524845,0.321451719823565,189
1596,14,52,2,102,34.9130699521044,0.317285053163565,248
1259,12,56,3,104,34.4359866195347,0.315201719833565,205
1376,10,55,1,105,34.5651532859946,0.315201719833565,176
1475,15,54,4,103,34.6964032857845,0.315201719833565,180
1537,17,54,4,102,34.7776532856545,0.313118386503565,180
1366,11,55,4,102,34.5797366193046,0.308951719843565,162
1413,13,55,2,100,34.7089032857645,0.308951719843565,209
1446,12,55,3,100,34.7193199524145,0.308951719843565,202
1522,14,54,2,103,34.7693199523345,0.308951719843565,182
1395,11,54,2,104,34.5547366193446,0.304785053183565,164
1551,18,55,1,103,34.8068199522745,0.304785053183565,218
1366,11,56,3,112,34.6089032859246,0.300618386523565,177
1290,11,54,4,100,34.4547366195047,0.298535053193565,173
1283,11,54,1,107,34.4964032861046,0.298535053193565,189
1593,25,48,1,103,34.9005699521244,0.298535053193565,261
1341,14,57,2,106,34.5880699526246,0.296451719863565,173
1537,19,53,7,97,34.7922366189645,0.292285053203565,309
1548,21,54,3,100,34.8526532855345,0.290201719873565,263
1446,13,54,8,98,34.7026532857745,0.288118386543565,199
1535,13,54,4,98,34.7484866190345,0.288118386543565,205
1552,13,54,4,105,34.7672366190045,0.288118386543565,192
1366,11,55,1,109,34.5880699526246,0.281868386553565,175
1366,11,55,1,109,34.5943199526146,0.281868386553565,181
1357,13,55,5,103,34.6359866192146,0.281868386553565,197
1429,14,54,7,99,34.6901532857945,0.281868386553565,202
1420,11,55,4,106,34.6776532858145,0.279785053223565,184
1288,12,55,7,102,34.4984866194346,0.277701719893565,171
1444,15,54,3,104,34.7005699524445,0.273535053233565,191
1490,14,53,8,97,34.7255699524045,0.273535053233565,189
1341,13,56,6,104,34.6339032858846,0.271451719903565,202
1341,13,56,6,104,34.6339032858846,0.269368386573565,208
1384,13,56,3,105,34.6505699525246,0.269368386573565,200
