"X","Y","mg","annual_precip","clay","h20_cap","land_elevation","occ","ph20","sand","silt","temp_annual_range","terrain_slope","topo_pst_index","valley_depth","wet_index"
35.0755699518444,0.83811838566357,278,1244.41125488281,48,27,1849,20,60,33,20,18.6370143890381,3,51,741,108
35.0943199518143,0.83811838566357,264,1270.30346679688,46,27,1873,16,57,34,19,18.6220436096191,2,97,455,111
35.0318199519144,0.83603505233357,320,1165.61267089844,46,28,1776,22,60,34,20,18.703498840332,5,-90,1446,104
35.1068199517943,0.83603505233357,311,1224.89086914062,47,28,1872,16,58,34,20,18.6227111816406,2,96,597,113
35.0839032851643,0.83395171900357,289,1305.076171875,48,27,1875,20,58,33,19,18.6262054443359,2,86,393,107
35.1026532851343,0.83395171900357,287,1216.40002441406,47,28,1845,18,58,34,20,18.6462097167969,4,-26,713,109
35.1151532851143,0.83186838567357,347,1189.81176757812,47,28,1866,18,57,33,19,18.6384658813477,4,59,598,109
35.0297366185844,0.82978505234357,276,1165.66296386719,46,28,1781,18,58,33,20,18.7082538604736,4,-25,1345,105
35.1214032851043,0.82978505234357,309,0,0,0,0,0,0,0,0,0,0,0,0,0
35.0630699518644,0.82770171901357,288,1185.66345214844,47,27,1821,17,59,33,20,18.6679344177246,3,-40,992,105
35.1422366184043,0.82770171901357,304,0,0,0,0,0,0,0,0,0,0,0,0,0
35.0776532851743,0.82561838568357,286,1287.21350097656,48,27,1867,20,58,33,19,18.638240814209,3,106,735,108
35.1297366184243,0.82353505235357,307,1117.11169433594,45,28,1841,21,59,34,21,18.654369354248,5,-53,1174,111
35.1276532850943,0.82145171902357,292,1117.11169433594,45,28,1841,21,59,34,21,18.654369354248,5,-53,1174,111
35.1401532850743,0.82145171902357,278,1112.01159667969,47,28,1855,22,61,33,20,18.6390933990479,4,50,1002,111
35.0630699518644,0.81936838569357,287,1167.17553710938,48,28,1816,17,59,32,20,18.6769199371338,2,5,1129,107
35.0984866184743,0.81936838569357,285,1272.89782714844,47,28,1837,21,59,34,19,18.649320602417,2,-26,932,108
35.1359866184143,0.81936838569357,290,1112.01159667969,47,28,1855,22,61,33,20,18.6390933990479,4,50,1002,111
35.1380699517443,0.81936838569357,283,1112.01159667969,47,28,1855,22,61,33,20,18.6390933990479,4,50,1002,111
35.0526532852144,0.81728505236357,282,1136.27172851562,49,28,1783,16,60,31,20,18.7077865600586,3,-8,1267,107
35.0964032851443,0.81728505236357,298,1244.763671875,47,27,1837,17,60,33,20,18.657995223999,3,71,1005,111
35.0589032852044,0.81520171903357,271,1136.27172851562,49,28,1783,16,60,31,20,18.7077865600586,3,-8,1267,107
35.0526532852144,0.81311838570357,278,1136.27172851562,49,28,1783,16,60,31,20,18.7077865600586,3,-8,1267,107
35.0672366185244,0.81311838570357,275,1153.09106445312,48,28,1810,16,60,32,19,18.691499710083,3,42,1185,107
35.0964032851443,0.81311838570357,317,1244.763671875,47,27,1837,17,60,33,20,18.657995223999,3,71,1005,111
35.1172366184443,0.81311838570357,327,1116.38049316406,47,28,1801,16,60,33,21,18.6874046325684,3,-118,1497,113
35.1380699517443,0.81103505237357,284,1111.90246582031,46,28,1855,21,58,33,20,18.6445217132568,4,14,1000,110
